,vtec_mean,vtec_std,vtec_min,vtec_max,n_maps
2019-04-27 17:00:00+00:00,17.526022399999995,,17.526022399999995,17.526022399999995,1
2019-04-27 17:30:00+00:00,,,,,0
2019-04-27 18:00:00+00:00,16.575622399999997,,16.575622399999997,16.575622399999997,1
2019-04-27 18:30:00+00:00,,,,,0
2019-04-27 19:00:00+00:00,16.201504,,16.201504,16.201504,1
2019-04-27 19:30:00+00:00,,,,,0
2019-04-27 20:00:00+00:00,16.462585599999997,,16.462585599999997,16.462585599999997,1
2019-04-27 20:30:00+00:00,,,,,0
2019-04-27 21:00:00+00:00,13.9421632,,13.9421632,13.9421632,1
2019-04-27 21:30:00+00:00,,,,,0
2019-04-27 22:00:00+00:00,7.772659200000001,,7.772659200000001,7.772659200000001,1
2019-04-27 22:30:00+00:00,,,,,0
2019-04-27 23:00:00+00:00,6.503859200000001,,6.503859200000001,6.503859200000001,1
2019-04-27 23:30:00+00:00,,,,,0
2019-04-28 00:00:00+00:00,5.668140800000001,,5.668140800000001,5.668140800000001,1
2019-04-28 00:30:00+00:00,,,,,0
2019-04-28 01:00:00+00:00,5.019059200000001,,5.019059200000001,5.019059200000001,1
2019-04-28 01:30:00+00:00,,,,,0
2019-04-28 02:00:00+00:00,5.471059200000001,,5.471059200000001,5.471059200000001,1
2019-04-28 02:30:00+00:00,,,,,0
2019-04-28 03:00:00+00:00,5.8137408000000015,,5.8137408000000015,5.8137408000000015,1
2019-04-28 03:30:00+00:00,,,,,0
2019-04-28 04:00:00+00:00,5.532800000000001,,5.532800000000001,5.532800000000001,1
2019-04-28 04:30:00+00:00,,,,,0
2019-04-28 05:00:00+00:00,5.312,,5.312,5.312,1
2019-04-28 05:30:00+00:00,,,,,0
2019-04-28 06:00:00+00:00,6.8528,,6.8528,6.8528,1
2019-04-28 06:30:00+00:00,,,,,0
2019-04-28 07:00:00+00:00,8.813600000000001,,8.813600000000001,8.813600000000001,1
2019-04-28 07:30:00+00:00,,,,,0
2019-04-28 08:00:00+00:00,9.7616,,9.7616,9.7616,1
2019-04-28 08:30:00+00:00,,,,,0
2019-04-28 09:00:00+00:00,10.1952,,10.1952,10.1952,1
2019-04-28 09:30:00+00:00,,,,,0
2019-04-28 10:00:00+00:00,11.059999999999999,,11.059999999999999,11.059999999999999,1
2019-04-28 10:30:00+00:00,,,,,0
2019-04-28 11:00:00+00:00,12.132940799999998,,12.132940799999998,12.132940799999998,1
2019-04-28 11:30:00+00:00,,,,,0
2019-04-28 12:00:00+00:00,13.117599999999998,,13.117599999999998,13.117599999999998,1
2019-04-28 12:30:00+00:00,,,,,0
2019-04-28 13:00:00+00:00,14.859340799999998,,14.859340799999998,14.859340799999998,1
2019-04-28 13:30:00+00:00,,,,,0
2019-04-28 14:00:00+00:00,16.7265408,,16.7265408,16.7265408,1
2019-04-28 14:30:00+00:00,,,,,0
2019-04-28 15:00:00+00:00,18.155481599999998,,18.155481599999998,18.155481599999998,1
2019-04-28 15:30:00+00:00,,,,,0
2019-04-28 16:00:00+00:00,18.6660224,,18.6660224,18.6660224,1
2019-04-28 16:30:00+00:00,,,,,0
2019-04-28 17:00:00+00:00,18.9677632,,18.9677632,18.9677632,1
2019-04-28 17:30:00+00:00,,,,,0
2019-04-28 18:00:00+00:00,19.9005632,,19.9005632,19.9005632,1
2019-04-28 18:30:00+00:00,,,,,0
2019-04-28 19:00:00+00:00,20.6021632,,20.6021632,20.6021632,1
2019-04-28 19:30:00+00:00,,,,,0
2019-04-28 20:00:00+00:00,20.376704000000004,,20.376704000000004,20.376704000000004,1
2019-04-28 20:30:00+00:00,,,,,0
2019-04-28 21:00:00+00:00,15.613363200000002,,15.613363200000002,15.613363200000002,1
2019-04-28 21:30:00+00:00,,,,,0
2019-04-28 22:00:00+00:00,9.4784,,9.4784,9.4784,1
2019-04-28 22:30:00+00:00,,,,,0
2019-04-28 23:00:00+00:00,7.6432,,7.6432,7.6432,1
2019-04-28 23:30:00+00:00,,,,,0
2019-04-29 00:00:00+00:00,6.5520000000000005,,6.5520000000000005,6.5520000000000005,1
2019-04-29 00:30:00+00:00,,,,,0
2019-04-29 01:00:00+00:00,5.4081408,,5.4081408,5.4081408,1
2019-04-29 01:30:00+00:00,,,,,0
2019-04-29 02:00:00+00:00,5.547340800000001,,5.547340800000001,5.547340800000001,1
2019-04-29 02:30:00+00:00,,,,,0
2019-04-29 03:00:00+00:00,5.5728,,5.5728,5.5728,1
2019-04-29 03:30:00+00:00,,,,,0
2019-04-29 04:00:00+00:00,5.1728000000000005,,5.1728000000000005,5.1728000000000005,1
2019-04-29 04:30:00+00:00,,,,,0
2019-04-29 05:00:00+00:00,5.1912,,5.1912,5.1912,1
2019-04-29 05:30:00+00:00,,,,,0
2019-04-29 06:00:00+00:00,6.8984000000000005,,6.8984000000000005,6.8984000000000005,1
2019-04-29 06:30:00+00:00,,,,,0
2019-04-29 07:00:00+00:00,9.0136,,9.0136,9.0136,1
2019-04-29 07:30:00+00:00,,,,,0
2019-04-29 08:00:00+00:00,9.6253184,,9.6253184,9.6253184,1
2019-04-29 08:30:00+00:00,,,,,0
2019-04-29 09:00:00+00:00,10.3190592,,10.3190592,10.3190592,1
2019-04-29 09:30:00+00:00,,,,,0
2019-04-29 10:00:00+00:00,11.0318592,,11.0318592,11.0318592,1
2019-04-29 10:30:00+00:00,,,,,0
2019-04-29 11:00:00+00:00,11.9592,,11.9592,11.9592,1
2019-04-29 11:30:00+00:00,,,,,0
2019-04-29 12:00:00+00:00,13.0593408,,13.0593408,13.0593408,1
2019-04-29 12:30:00+00:00,,,,,0
2019-04-29 13:00:00+00:00,13.872140799999997,,13.872140799999997,13.872140799999997,1
2019-04-29 13:30:00+00:00,,,,,0
2019-04-29 14:00:00+00:00,15.598681599999997,,15.598681599999997,15.598681599999997,1
2019-04-29 14:30:00+00:00,,,,,0
2019-04-29 15:00:00+00:00,17.0866816,,17.0866816,17.0866816,1
2019-04-29 15:30:00+00:00,,,,,0
2019-04-29 16:00:00+00:00,17.702540799999998,,17.702540799999998,17.702540799999998,1
2019-04-29 16:30:00+00:00,,,,,0
2019-04-29 17:00:00+00:00,18.793222399999998,,18.793222399999998,18.793222399999998,1
2019-04-29 17:30:00+00:00,,,,,0
2019-04-29 18:00:00+00:00,19.7885632,,19.7885632,19.7885632,1
2019-04-29 18:30:00+00:00,,,,,0
2019-04-29 19:00:00+00:00,20.3973632,,20.3973632,20.3973632,1
2019-04-29 19:30:00+00:00,,,,,0
2019-04-29 20:00:00+00:00,20.1371264,,20.1371264,20.1371264,1
2019-04-29 20:30:00+00:00,,,,,0
2019-04-29 21:00:00+00:00,13.5132224,,13.5132224,13.5132224,1
2019-04-29 21:30:00+00:00,,,,,0
2019-04-29 22:00:00+00:00,8.144659200000003,,8.144659200000003,8.144659200000003,1
2019-04-29 22:30:00+00:00,,,,,0
2019-04-29 23:00:00+00:00,6.154681600000002,,6.154681600000002,6.154681600000002,1
2019-04-29 23:30:00+00:00,,,,,0
2019-04-30 00:00:00+00:00,5.2745408000000005,,5.2745408000000005,5.2745408000000005,1
2019-04-30 00:30:00+00:00,,,,,0
2019-04-30 01:00:00+00:00,4.9064,,4.9064,4.9064,1
2019-04-30 01:30:00+00:00,,,,,0
2019-04-30 02:00:00+00:00,5.2792,,5.2792,5.2792,1
2019-04-30 02:30:00+00:00,,,,,0
2019-04-30 03:00:00+00:00,5.5218816,,5.5218816,5.5218816,1
2019-04-30 03:30:00+00:00,,,,,0
2019-04-30 04:00:00+00:00,4.7728,,4.7728,4.7728,1
2019-04-30 04:30:00+00:00,,,,,0
2019-04-30 05:00:00+00:00,4.8230592,,4.8230592,4.8230592,1
2019-04-30 05:30:00+00:00,,,,,0
2019-04-30 06:00:00+00:00,6.8984000000000005,,6.8984000000000005,6.8984000000000005,1
2019-04-30 06:30:00+00:00,,,,,0
2019-04-30 07:00:00+00:00,9.5136,,9.5136,9.5136,1
2019-04-30 07:30:00+00:00,,,,,0
2019-04-30 08:00:00+00:00,10.387059200000001,,10.387059200000001,10.387059200000001,1
2019-04-30 08:30:00+00:00,,,,,0
2019-04-30 09:00:00+00:00,10.2472,,10.2472,10.2472,1
2019-04-30 09:30:00+00:00,,,,,0
2019-04-30 10:00:00+00:00,10.639199999999999,,10.639199999999999,10.639199999999999,1
2019-04-30 10:30:00+00:00,,,,,0
2019-04-30 11:00:00+00:00,11.698399999999998,,11.698399999999998,11.698399999999998,1
2019-04-30 11:30:00+00:00,,,,,0
2019-04-30 12:00:00+00:00,13.106540799999998,,13.106540799999998,13.106540799999998,1
2019-04-30 12:30:00+00:00,,,,,0
2019-04-30 13:00:00+00:00,13.9193408,,13.9193408,13.9193408,1
2019-04-30 13:30:00+00:00,,,,,0
2019-04-30 14:00:00+00:00,14.703199999999999,,14.703199999999999,14.703199999999999,1
2019-04-30 14:30:00+00:00,,,,,0
2019-04-30 15:00:00+00:00,15.244799999999998,,15.244799999999998,15.244799999999998,1
2019-04-30 15:30:00+00:00,,,,,0
2019-04-30 16:00:00+00:00,15.9744,,15.9744,15.9744,1
2019-04-30 16:30:00+00:00,,,,,0
2019-04-30 17:00:00+00:00,17.6241408,,17.6241408,17.6241408,1
2019-04-30 17:30:00+00:00,,,,,0
2019-04-30 18:00:00+00:00,18.7650816,,18.7650816,18.7650816,1
2019-04-30 18:30:00+00:00,,,,,0
2019-04-30 19:00:00+00:00,20.872704,,20.872704,20.872704,1
2019-04-30 19:30:00+00:00,,,,,0
2019-04-30 20:00:00+00:00,19.6672448,,19.6672448,19.6672448,1
2019-04-30 20:30:00+00:00,,,,,0
2019-04-30 21:00:00+00:00,11.033600000000003,,11.033600000000003,11.033600000000003,1
2019-04-30 21:30:00+00:00,,,,,0
2019-04-30 22:00:00+00:00,6.82,,6.82,6.82,1
2019-04-30 22:30:00+00:00,,,,,0
2019-04-30 23:00:00+00:00,6.245600000000001,,6.245600000000001,6.245600000000001,1
2019-04-30 23:30:00+00:00,,,,,0
2019-05-01 00:00:00+00:00,5.4272,,5.4272,5.4272,1
2019-05-01 00:30:00+00:00,,,,,0
2019-05-01 01:00:00+00:00,4.9318592,,4.9318592,4.9318592,1
2019-05-01 01:30:00+00:00,,,,,0
2019-05-01 02:00:00+00:00,5.1353408,,5.1353408,5.1353408,1
2019-05-01 02:30:00+00:00,,,,,0
2019-05-01 03:00:00+00:00,5.0353408,,5.0353408,5.0353408,1
