start,end,Bz_min,duration_h
2017-01-31 15:00:00+00:00,2017-01-31 15:00:00+00:00,-11.09,0.0
2017-02-24 00:00:00+00:00,2017-02-24 00:05:00+00:00,-10.32,0.08333333333333333
2017-03-21 06:40:00+00:00,2017-03-21 06:55:00+00:00,-11.53,0.25
2017-03-27 06:20:00+00:00,2017-03-27 06:20:00+00:00,-10.99,0.0
2017-03-27 09:15:00+00:00,2017-03-27 09:15:00+00:00,-11.01,0.0
2017-03-27 09:55:00+00:00,2017-03-27 10:00:00+00:00,-10.56,0.08333333333333333
2017-04-04 05:05:00+00:00,2017-04-04 05:30:00+00:00,-11.74,0.4166666666666667
2017-04-04 05:50:00+00:00,2017-04-04 06:30:00+00:00,-11.14,0.6666666666666666
2017-04-04 08:40:00+00:00,2017-04-04 08:45:00+00:00,-10.98,0.08333333333333333
2017-04-04 09:05:00+00:00,2017-04-04 09:15:00+00:00,-11.0,0.16666666666666666
2017-04-04 10:20:00+00:00,2017-04-04 10:40:00+00:00,-11.63,0.3333333333333333
2017-04-18 23:10:00+00:00,2017-04-18 23:10:00+00:00,-11.45,0.0
2017-04-19 01:50:00+00:00,2017-04-19 02:10:00+00:00,-11.35,0.3333333333333333
2017-04-19 19:20:00+00:00,2017-04-19 19:20:00+00:00,-10.12,0.0
2017-04-20 03:50:00+00:00,2017-04-20 03:50:00+00:00,-10.08,0.0
2017-05-20 07:10:00+00:00,2017-05-20 07:15:00+00:00,-10.58,0.08333333333333333
2017-05-20 09:00:00+00:00,2017-05-20 09:00:00+00:00,-10.35,0.0
2017-05-27 21:40:00+00:00,2017-05-27 22:00:00+00:00,-10.142136752136752,0.3333333333333333
2017-05-28 07:25:00+00:00,2017-05-28 07:30:00+00:00,-11.05,0.08333333333333333
2017-05-28 07:45:00+00:00,2017-05-28 08:10:00+00:00,-11.55,0.4166666666666667
2017-05-28 08:20:00+00:00,2017-05-28 09:25:00+00:00,-11.59,1.0833333333333333
2017-05-28 09:35:00+00:00,2017-05-28 09:40:00+00:00,-10.45,0.08333333333333333
2017-05-29 13:20:00+00:00,2017-05-29 13:45:00+00:00,-11.293333333333333,0.4166666666666667
2017-05-29 14:10:00+00:00,2017-05-29 14:50:00+00:00,-11.56,0.6666666666666666
2017-06-03 12:40:00+00:00,2017-06-03 13:20:00+00:00,-11.69,0.6666666666666666
2017-06-03 13:35:00+00:00,2017-06-03 13:35:00+00:00,-10.92,0.0
2017-06-03 14:00:00+00:00,2017-06-03 14:05:00+00:00,-10.46,0.08333333333333333
2017-06-03 14:30:00+00:00,2017-06-03 14:35:00+00:00,-11.16,0.08333333333333333
2017-06-03 15:00:00+00:00,2017-06-03 15:55:00+00:00,-11.17,0.9166666666666666
2017-06-11 15:35:00+00:00,2017-06-11 16:05:00+00:00,-11.46,0.5
2017-07-09 01:35:00+00:00,2017-07-09 01:50:00+00:00,-10.87,0.25
2017-07-09 09:30:00+00:00,2017-07-09 09:55:00+00:00,-11.52,0.4166666666666667
2017-07-16 11:05:00+00:00,2017-07-16 11:10:00+00:00,-10.61,0.08333333333333333
2017-07-16 17:40:00+00:00,2017-07-16 17:40:00+00:00,-11.28,0.0
2017-07-16 20:25:00+00:00,2017-07-16 20:25:00+00:00,-10.71,0.0
2017-07-17 14:25:00+00:00,2017-07-17 15:10:00+00:00,-10.96,0.75
2017-08-03 19:35:00+00:00,2017-08-03 19:40:00+00:00,-10.24,0.08333333333333333
2017-08-04 10:15:00+00:00,2017-08-04 10:15:00+00:00,-10.33,0.0
2017-08-04 10:25:00+00:00,2017-08-04 10:25:00+00:00,-11.51,0.0
2017-08-31 07:25:00+00:00,2017-08-31 07:25:00+00:00,-11.44,0.0
2017-08-31 08:30:00+00:00,2017-08-31 08:30:00+00:00,-10.78,0.0
2017-08-31 09:30:00+00:00,2017-08-31 09:45:00+00:00,-11.72,0.25
2017-09-08 00:35:00+00:00,2017-09-08 00:55:00+00:00,-11.01,0.3333333333333333
2017-09-08 01:50:00+00:00,2017-09-08 01:55:00+00:00,-10.47,0.08333333333333333
2017-09-08 13:05:00+00:00,2017-09-08 13:25:00+00:00,-11.12,0.3333333333333333
2017-09-08 13:35:00+00:00,2017-09-08 13:35:00+00:00,-10.43,0.0
2017-09-12 23:00:00+00:00,2017-09-12 23:00:00+00:00,-10.14,0.0
2017-09-12 23:45:00+00:00,2017-09-12 23:45:00+00:00,-10.19,0.0
2017-09-14 13:45:00+00:00,2017-09-14 13:55:00+00:00,-11.42,0.16666666666666666
2017-09-27 07:20:00+00:00,2017-09-27 07:35:00+00:00,-11.51,0.25
2017-09-27 22:00:00+00:00,2017-09-27 22:00:00+00:00,-10.24,0.0
2017-10-11 11:05:00+00:00,2017-10-11 11:15:00+00:00,-11.58,0.16666666666666666
2017-11-07 04:10:00+00:00,2017-11-07 04:15:00+00:00,-10.63,0.08333333333333333
2017-11-07 08:25:00+00:00,2017-11-07 08:55:00+00:00,-11.47,0.5
2017-11-07 09:15:00+00:00,2017-11-07 09:40:00+00:00,-11.4,0.4166666666666667
2017-11-07 17:20:00+00:00,2017-11-07 17:20:00+00:00,-10.51,0.0
2017-11-07 19:10:00+00:00,2017-11-07 19:10:00+00:00,-11.4,0.0
